ID PUMA,PUMA,ID Year,Year,ygopop RCA,Record Count,Slug PUMA,PUMS Occupation,ID PUMS Occupation,Slug PUMS Occupation
"79500US7200202","Carr 2 (Suroeste) PUMA, PR",2017,"2017",2.202375091541537,6,"carr-2-suroeste-puma-pr","Social workers","211020","social-workers"
"79500US7200403","Carr 52-Carr 150 PUMA, PR",2017,"2017",2.551448992956031,7,"carr-52-carr-150-puma-pr","Social workers","211020","social-workers"
"79500US7200804","San Juan Municipio (Noroeste) PUMA, PR",2017,"2017",1.385814993956515,6,"san-juan-municipio-noroeste-puma-pr","Social workers","211020","social-workers"
"79500US0100100","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA, AL",2017,"2017",0.7408541878336999,6,"lauderdale-colbert-franklin-marion-northeast-counties-puma-al","Social workers","211020","social-workers"
"79500US0101200","Shelby County PUMA, AL",2017,"2017",1.2420815794600892,5,"shelby-county-puma-al","Social workers","211020","social-workers"
"79500US0101303","Hoover (North), Vestavia Hills & Homewood Cities PUMA, AL",2017,"2017",1.7576992876632387,6,"hoover-north-vestavia-hills-homewood-cities-puma-al","Social workers","211020","social-workers"
"79500US0101304","Trussville, Center Point & Gardendale Cities PUMA, AL",2017,"2017",1.1738614227892512,5,"trussville-center-point-gardendale-cities-puma-al","Social workers","211020","social-workers"
"79500US0101500","Northport City (North & West) PUMA, AL",2017,"2017",1.7722161507539904,5,"northport-city-north-west-puma-al","Social workers","211020","social-workers"
"79500US0102300","Coffee, Covington, Butler & Crenshaw Counties PUMA, AL",2017,"2017",2.4042618680904617,6,"coffee-covington-butler-crenshaw-counties-puma-al","Social workers","211020","social-workers"
"79500US0102400","Russell, Pike, Barbour, Macon & Bullock Counties PUMA, AL",2017,"2017",0.5931615933796056,5,"russell-pike-barbour-macon-bullock-counties-puma-al","Social workers","211020","social-workers"
"79500US0102500","Dothan City PUMA, AL",2017,"2017",0.5939162267926271,14,"dothan-city-puma-al","Social workers","211020","social-workers"
"79500US0200200","Matanuska-Susitna & Kenai Peninsula Boroughs PUMA, AK",2017,"2017",1.1011354349948823,8,"matanuska-susitna-kenai-peninsula-boroughs-puma-ak","Social workers","211020","social-workers"
"79500US0200300","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska PUMA, AK",2017,"2017",1.9323849995167222,5,"greater-fairbanks-greater-juneau-ketchikan-gateway-borough-road-connected-alaska-puma-ak","Social workers","211020","social-workers"
"79500US0200400","Subsistence Alaska PUMA, AK",2017,"2017",1.3357604493252493,11,"subsistence-alaska-puma-ak","Social workers","211020","social-workers"
"79500US0400105","Gilbert Town (North) PUMA, AZ",2017,"2017",1.7580656878725482,10,"gilbert-town-north-puma-az","Social workers","211020","social-workers"
"79500US0400114","Phoenix City (Northeast Central) PUMA, AZ",2017,"2017",2.017547554245557,6,"phoenix-city-northeast-central-puma-az","Social workers","211020","social-workers"
"79500US0400118","Downtown & Sky Harbor International Airport PUMA, AZ",2017,"2017",2.851841113656167,9,"downtown-sky-harbor-international-airport-puma-az","Social workers","211020","social-workers"
"79500US0400119","Phoenix City (South) PUMA, AZ",2017,"2017",1.9341557141672148,7,"phoenix-city-south-puma-az","Social workers","211020","social-workers"
"79500US0400121","Phoenix (Southwest) & Tolleson Cities PUMA, AZ",2017,"2017",1.2340350267667946,5,"phoenix-southwest-tolleson-cities-puma-az","Social workers","211020","social-workers"
"79500US0400123","Maryvale (West) PUMA, AZ",2017,"2017",2.680218059050336,10,"maryvale-west-puma-az","Social workers","211020","social-workers"
"79500US0400126","Glendale City (North) PUMA, AZ",2017,"2017",1.262105987881548,7,"glendale-city-north-puma-az","Social workers","211020","social-workers"
"79500US0400202","Tucson (West) & Marana Cities PUMA, AZ",2017,"2017",0.9605824177269355,6,"tucson-west-marana-cities-puma-az","Social workers","211020","social-workers"
"79500US0400206","Tucson City (Northeast) PUMA, AZ",2017,"2017",2.8368403285787602,7,"tucson-city-northeast-puma-az","Social workers","211020","social-workers"
"79500US0400207","Tucson City (Northwest) PUMA, AZ",2017,"2017",1.1597150057061916,5,"tucson-city-northwest-puma-az","Social workers","211020","social-workers"
"79500US0400209","Tucson City (Southeast) PUMA, AZ",2017,"2017",1.6425276180615889,9,"tucson-city-southeast-puma-az","Social workers","211020","social-workers"
"79500US0400300","Navajo & Apache Counties PUMA, AZ",2017,"2017",1.0341187696704495,9,"navajo-apache-counties-puma-az","Social workers","211020","social-workers"
"79500US0400500","Yavapai County PUMA, AZ",2017,"2017",1.165679582797304,6,"yavapai-county-puma-az","Social workers","211020","social-workers"
"79500US0400600","Lake Havasu City PUMA, AZ",2017,"2017",0.9314109244010605,7,"lake-havasu-city-puma-az","Social workers","211020","social-workers"
